cty,Name,Change_in_Poverty_Rate
cty17021,"Christian County, IL",3.2553844
cty17043,"DuPage County, IL",2.6011879
cty17007,"Boone County, IL",2.5903301
cty16069,"Nez Perce County, ID",2.3279743
cty17037,"DeKalb County, IL",1.6208057
cty17075,"Iroquois County, IL",1.4717426
cty16079,"Shoshone County, ID",1.3363495
cty17049,"Effingham County, IL",1.3182201
cty17077,"Jackson County, IL",1.2638626
cty17011,"Bureau County, IL",1.1045313
cty17005,"Bond County, IL",0.99665356
cty17031,"Cook County, IL",0.90893269
cty17081,"Jefferson County, IL",0.85119247
cty17067,"Hancock County, IL",0.67500401
cty17035,"Cumberland County, IL",0.64291668
cty16083,"Twin Falls County, ID",0.49792767
cty17073,"Henry County, IL",0.24168396
cty16067,"Minidoka County, ID",0.1032486
cty17017,"Cass County, IL",0.047966957
cty17023,"Clark County, IL",-0.075866699
cty17001,"Adams County, IL",-0.44041157
cty17015,"Carroll County, IL",-0.61899471
cty17063,"Grundy County, IL",-0.70144081
cty17053,"Ford County, IL",-0.86376667
cty16055,"Kootenai County, ID",-0.87268448
cty17061,"Greene County, IL",-0.96433067
cty17027,"Clinton County, IL",-1.8448935
cty17057,"Fulton County, IL",-1.845499
cty16051,"Jefferson County, ID",-3.5209589
cty16053,"Jerome County, ID",-3.668355
cty16059,"Lemhi County, ID",
cty16071,"Oneida County, ID",
cty17041,"Douglas County, IL",-1.8535466
cty17045,"Edgar County, IL",-2.4375048
cty17055,"Franklin County, IL",-2.4400005
cty17079,"Jasper County, IL",-2.9753227
cty16075,"Payette County, ID",-3.984828
cty16073,"Owyhee County, ID",-4.2224579
cty16077,"Power County, ID",
cty16087,"Washington County, ID",-4.9133778
cty17003,"Alexander County, IL",
cty17039,"De Witt County, IL",-1.2932663
cty17025,"Clay County, IL",-1.956459
cty17047,"Edwards County, IL",
cty17065,"Hamilton County, IL",
cty17137,"Morgan County, IL",5.1342649
cty17181,"Union County, IL",4.1127014
cty17109,"McDonough County, IL",3.4730835
cty17167,"Sangamon County, IL",3.3406191
cty17183,"Vermilion County, IL",2.9718485
cty17177,"Stephenson County, IL",2.9457893
cty17115,"Macon County, IL",2.4085369
cty17105,"Livingston County, IL",2.1531191
cty17111,"McHenry County, IL",2.0798674
cty17095,"Knox County, IL",2.0663881
cty17089,"Kane County, IL",1.9818988
cty17159,"Richland County, IL",1.8804874
cty17189,"Washington County, IL",1.8415194
cty17113,"McLean County, IL",1.7143755
cty17085,"Jo Daviess County, IL",1.632185
cty17097,"Lake County, IL",1.550086
cty17157,"Randolph County, IL",1.5406256
cty17091,"Kankakee County, IL",1.4540558
cty17185,"Wabash County, IL",1.1616259
cty17147,"Piatt County, IL",1.1190815
cty17141,"Ogle County, IL",0.9675498
cty17119,"Madison County, IL",0.81515217
cty17121,"Marion County, IL",0.80721855
cty17139,"Moultrie County, IL",0.67413712
cty17103,"Lee County, IL",0.40183735
cty17173,"Shelby County, IL",0.39462662
cty17187,"Warren County, IL",0.26543045
cty17135,"Montgomery County, IL",0.082929611
cty17093,"Kendall County, IL",0.075410843
cty17123,"Marshall County, IL",0.022909164
cty17107,"Logan County, IL",-0.091860771
cty17099,"LaSalle County, IL",-0.46162796
cty17125,"Mason County, IL",-0.54644299
cty17161,"Rock Island County, IL",-0.56459045
cty17143,"Peoria County, IL",-0.60407162
cty17129,"Menard County, IL",-0.68169975
cty17133,"Monroe County, IL",-0.76741886
cty17179,"Tazewell County, IL",-1.2525525
cty17083,"Jersey County, IL",-1.3684225
cty17165,"Saline County, IL",-1.5005226
cty17087,"Johnson County, IL",-1.6154947
cty17127,"Massac County, IL",-1.7659559
cty17117,"Macoupin County, IL",-1.7764616
cty17163,"St. Clair County, IL",-2.263341
cty17145,"Perry County, IL",-2.2916374
cty17131,"Mercer County, IL",-2.5557723
cty17149,"Pike County, IL",-2.787199
cty17101,"Lawrence County, IL",-3.5183487
cty16043,"Fremont County, ID",-4.5550594
cty17153,"Pulaski County, IL",
cty17169,"Schuyler County, IL",
cty17171,"Scott County, IL",
cty18039,"Elkhart County, IN",5.9066043
cty17201,"Winnebago County, IL",4.6724491
cty18069,"Huntington County, IN",4.386169
cty18067,"Howard County, IN",4.3745785
cty18001,"Adams County, IN",4.2474957
cty18053,"Grant County, IN",4.1805944
cty18003,"Allen County, IN",4.1585579
cty18075,"Jay County, IN",4.0316458
cty18023,"Clinton County, IN",3.8186207
cty18013,"Brown County, IN",3.6525221
cty18055,"Greene County, IN",2.892539
cty18045,"Fountain County, IN",2.8652487
cty18035,"Delaware County, IN",2.8575592
cty18085,"Kosciusko County, IN",2.8365402
cty18017,"Cass County, IN",2.5943155
cty18049,"Fulton County, IN",2.5552216
cty18015,"Carroll County, IN",2.4899278
cty18077,"Jefferson County, IN",2.4517183
cty18009,"Blackford County, IN",2.4238911
cty18033,"DeKalb County, IN",2.4010668
cty18025,"Crawford County, IN",2.2506504
cty18087,"LaGrange County, IN",2.2071419
cty18037,"Dubois County, IN",1.9774079
cty18063,"Hendricks County, IN",1.8626912
cty18071,"Jackson County, IN",1.744235
cty18083,"Knox County, IN",1.6456881
cty18021,"Clay County, IN",1.5916033
cty18073,"Jasper County, IN",1.5395308
cty18019,"Clark County, IN",1.4965687
cty18051,"Gibson County, IN",1.4810486
cty18059,"Hancock County, IN",1.4741168
cty18005,"Bartholomew County, IN",1.3534412
cty18031,"Decatur County, IN",1.1138544
cty18057,"Hamilton County, IN",1.0054517
cty17199,"Williamson County, IL",0.74220467
cty18081,"Johnson County, IN",0.60089922
cty18047,"Franklin County, IN",0.51860332
cty17191,"Wayne County, IL",0.40540123
cty17197,"Will County, IL",0.35650539
cty18065,"Henry County, IN",0.26299667
cty17195,"Whiteside County, IL",0.091366768
cty18011,"Boone County, IN",0.0081739426
cty18061,"Harrison County, IN",-0.42672729
cty18043,"Floyd County, IN",-0.51235962
cty18079,"Jennings County, IN",-0.80906105
cty18027,"Daviess County, IN",-0.98438263
cty17203,"Woodford County, IL",-1.351408
cty18029,"Dearborn County, IN",-2.0251193
